Strain,Row,Vine,Sampled,Response
HREC,10,24,9/24/21,1
HREC,11,2,9/24/21,1
HREC,11,6,9/24/21,1
HREC,12,39,9/24/21,1
HREC,13,39,9/24/21,1
HREC,13,40,9/24/21,1
HREC,13,41,9/24/21,1
HREC,14,12,9/24/21,1
HREC,14,16,9/24/21,1
HREC,16,16,9/24/21,1
HREC,16,37,9/24/21,1
HREC,4,28,9/24/21,1
HREC,6,31,9/24/21,1
HREC,7,15,9/24/21,1
HREC,12,41,9/24/21,1
HREC,13,26,9/24/21,1
HREC,8,2,9/24/21,1
HREC,11,2,8/16/23,1
HREC,11,28,8/16/23,1
HREC,14,21,8/16/23,1
HREC,14,32,8/16/23,1
HREC,3,17,8/16/23,1
HREC,4,32,8/16/23,1
HREC,5,32,8/16/23,1
HREC,5,7,8/16/23,1
HREC,7,12,8/16/23,1
HREC,7,17,8/16/23,1
HREC,8,24,8/16/23,1
HREC,8,41,8/16/23,1
HREC,3,11,9/13/23,1
HREC,3,19,9/13/23,1
HREC,3,2,9/13/23,1
HREC,4,16,9/13/23,1
HREC,4,23,9/13/23,1
HREC,5,8,9/13/23,1
HREC,6,12,9/13/23,1
HREC,6,29,9/13/23,1
HREC,6,38,9/13/23,1
HREC,6,40,9/13/23,1
HREC,11,17,9/28/23,1
HREC,11,21,9/28/23,1
HREC,11,31,9/28/23,1
HREC,11,5,9/28/23,1
HREC,12,7,9/28/23,1
HREC,13,13,9/28/23,1
HREC,13,16,9/28/23,1
HREC,13,27,9/28/23,1
HREC,13,40,9/28/23,1
HREC,14,14,9/28/23,1
HREC,15,21,9/28/23,1
HREC,15,3,9/28/23,1
HREC,15,9,9/28/23,1
HREC,16,28,9/28/23,1
HREC,16,29,9/28/23,1
HREC,3,10,9/28/23,1
HREC,4,36,9/28/23,1
HREC,5,29,9/28/23,1
HREC,6,20,9/28/23,1
HREC,7,15,9/28/23,1
HREC,7,5,9/28/23,1
HREC,8,17,9/28/23,1
HREC,8,6,9/28/23,1
HREC,11,32,9/28/23,1
HREC,14,16,9/28/23,1
HREC,3,23,9/29/23,0
HREC,4,39,9/29/23,0
HREC,5,3,9/29/23,0
HREC,5,13,9/29/23,0
HREC,5,25,9/29/23,0
HREC,5,34,9/29/23,0
HREC,5,39,9/29/23,0
HREC,6,18,9/29/23,0
HREC,8,12,9/29/23,0
HREC,8,25,9/29/23,0
HREC,9,7,9/29/23,0
HREC,11,8,9/29/23,0
HREC,12,11,9/29/23,0
HREC,14,27,9/29/23,0
HREC,15,14,9/29/23,0
HREC,16,3,9/29/23,0
HREC,5,3,9/13/23,0
HREC,3,10,9/13/23,0
HREC,3,12,9/13/23,0
HREC,4,36,9/13/23,0
HREC,4,39,9/13/23,0
HREC,5,13,9/13/23,0
HREC,6,24,9/13/23,0
HREC,6,26,9/13/23,0
HREC,7,13,9/13/23,0
HREC,7,15,9/13/23,0
HREC,8,6,9/13/23,0
HREC,8,25,9/13/23,0
HREC,11,3,9/13/23,0
HREC,11,5,9/13/23,0
HREC,11,8,9/13/23,0
HREC,11,9,9/13/23,0
HREC,11,10,9/13/23,0
HREC,3,19,8/17/23,0
HREC,3,26,8/17/23,0
HREC,5,34,8/17/23,0
HREC,6,38,8/17/23,0
HREC,7,5,8/17/23,0
HREC,7,32,8/17/23,0
HREC,8,6,8/17/23,0
HREC,8,17,8/17/23,0
HREC,8,25,8/17/23,0
HREC,14,16,8/17/23,0
HREC,3,2,7-Jul,0
HREC,3,8,7-Jul,0
HREC,3,10,7-Jul,0
HREC,3,11,7-Jul,0
HREC,3,17,7-Jul,0
HREC,3,19,7-Jul,0
HREC,3,23,7-Jul,0
HREC,3,24,7-Jul,0
HREC,3,25,7-Jul,0
HREC,4,4,7-Jul,0
HREC,4,16,7-Jul,0
HREC,4,24,7-Jul,0
HREC,4,32,7-Jul,0
HREC,5,7,7-Jul,0
HREC,5,8,7-Jul,0
HREC,6,8,7-Jul,0
HREC,6,11,7-Jul,0
HREC,7,15,7-Jul,0
HREC,8,6,7-Jul,0
HREC,8,17,7-Jul,0
HREC,8,24,7-Jul,0
HREC,8,25,7-Jul,0
HREC,8,28,7-Jul,0
HREC,3,8,9/24/21,0
HREC,3,9,9/24/21,0
HREC,3,10,9/24/21,0
HREC,3,11,9/24/21,0
HREC,3,17,9/24/21,0
HREC,3,19,9/24/21,0
HREC,3,20,9/24/21,0
HREC,4,31,9/24/21,0
HREC,5,32,9/24/21,0
HREC,5,33,9/24/21,0
HREC,5,34,9/24/21,0
HREC,6,27,9/24/21,0
HREC,6,29,9/24/21,0
HREC,7,12,9/24/21,0
HREC,7,14,9/24/21,0
HREC,7,16,9/24/21,0
HREC,8,5,9/24/21,0
HREC,8,6,9/24/21,0
HREC,9,7,9/24/21,0
HREC,9,9,9/24/21,0
HREC,10,23,9/24/21,0
HREC,11,4,9/24/21,0
HREC,12,11,9/24/21,0
HREC,12,38,9/24/21,0
HREC,12,40,9/24/21,0
HREC,13,27,9/24/21,0
HREC,14,13,9/24/21,0
HREC,14,14,9/24/21,0
HREC,14,15,9/24/21,0
HREC,15,6,9/24/21,0
HREC,16,14,9/24/21,0